id,group_name,sb_id,side,display_order,created_by,updated_by,created_at,updated_at,deleted_at,for_inventory,for_articulation,middle
5,Arm,148,false,3,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
4,Arm,93,false,2,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
3,Arm,37,false,1,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
10,Arm and Shoulder,12,false,2,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
9,Arm and Shoulder,148,false,3,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
8,Arm and Shoulder,93,false,2,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
7,Arm and Shoulder,37,false,1,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
6,Arm and Shoulder,117,false,1,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,false
56,Cervical vertebrae,11,false,7,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
50,Cervical vertebrae,4,false,1,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
51,Cervical vertebrae,5,false,2,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
52,Cervical vertebrae,6,false,3,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
53,Cervical vertebrae,7,false,4,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
54,Cervical vertebrae,8,false,5,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
55,Cervical vertebrae,9,false,6,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,false,true
81,Foot,75,false,4,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,true,false
83,Foot,118,false,6,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,true,false
84,Foot,126,false,7,System,System,2018-12-08 16:50:21,2019-12-27 05:08:56,,true,true,false
