id,sb_id,name,display_name,display_order,description,display_help,comment,instrument,min_value,max_value,step_value,min_threshold,max_threshold,stature,sex,created_by,updated_by,created_at,updated_at,deleted_at,help_url
158,2,Cal_01,Cal_01 Maximum Length,1,Distance between the most posteriorly projecting point on the tuberosity and the most anterior point on the superior margin of the articular facet for the cuboid measured in the sagittal plane and projected onto the underlying surface.,"Distance between the most posteriorly projecting point on the tuberosity and the most anterior point on the superior margin of the articular facet for the cuboid measured in the sagittal plane and projected onto the underlying surface (Moore-Jansen et al. 1994, #77; Holland 1995, MCAL; Langley et al. 2016:82, #94).",Excessive calcaneal spurs should be omitted from this measurement.,sliding caliper or osteometric board.,10,200,0.01,65,101,true,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#calcaneus
159,2,Cal_02,Cal_02 Middle Breadth,2,Distance between the most laterally projecting point on the dorsal articular facet and the most medial point on the sustentaculum tali.,"Distance between the most laterally projecting point on the dorsal articular facet and the most medial point on the sustentaculum tali (Martin and Knussmann 1988:225, #2; Moore-Jansen et al. 1994, #78; Langley et al. 2016:82, #95).","The two measuring points lie at neither the same level, nor in a plane perpendicular to the sagittal plane. Span the calcaneus from behind with the blunt arms of the caliper so that the caliper is positioned in a flat and transverse plane across the bone.",sliding caliper.,10,99,0.01,33,51,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#calcaneus
160,2,Cal_03,Cal_03 Minimum Height Distal to Articular Facets,3,Find the minimum height in the pinched area of the calcaneus distal to the articular facets and proximal to the calcaneal tuber.,"Find the minimum height in the pinched area of the calcaneus distal to the articular facets and proximal to the calcaneal tuber (Byrd and Adams 2015, #78A).","",sliding caliper,10,99,0.01,32,47,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#calcaneus
161,2,Cal_04,Cal_04 Posterior Length,4,The maximum length between the most anterior point of the posterior talar articular surface and the most posterior point of the calcaneal tuberosity.,"The maximum length between the most anterior point of the posterior talar articular surface and the most posterior point of the calcaneal tuberosity (Byrd and Adams 2015, #78B; Holland, 1995).","",sliding caliper.,10,150,0.01,56,69,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#calcaneus
162,2,Cal_05,Cal_05 Maximum Length of the Calcaneus,5,Maximum length of the calcaneus as taken parallel to the long axis.  Hold the calcaneus in anatomical position so that you are looking down on the articular surface.  Place the fixed jaw of the digital calipers on the anterior-most point of the articular surface.  Extend the movable jaw to the posterior surface of bone in a line parallel to the long axis.  ,Maximum length of the calcaneus as taken parallel to the long axis.  Hold the calcaneus in anatomical position so that you are looking down on the articular surface.  Place the fixed jaw of the digital calipers on the anterior-most point of the articular surface.  Extend the movable jaw to the posterior surface of bone in a line parallel to the long axis.  ,"","",,,,,,false,false,System,System,2018-04-29 18:35:14,2018-05-09 01:47:25,,
94,3,Cap_01,Cap_01 Maximum Length of the Capitate,1,This is the maximum length of the bone.  The measurement should be taken with sliding calipers.,"This is the maximum length of the bone. (Byrd and Adams 2015, #52.5L).","Move the bone up, down, and sideways in order to obtain the maximum distance.",sliding calipers. ,10,99,0.01,26,32,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#hands
179,4,Cer1_01,Cer1_01 Maximum Length of the Left Superior Articular Facet,1,Take the maximum length of the facet as it appears in any direction.,"Take the maximum length of the facet as it appears in any direction (Byrd and Adams 2015, #81A).","",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#vertebrae
180,4,Cer1_02,Cer1_02 Maximum Length of the Right Superior Articular Facet,2,Take the maximum length of the facet as it appears in any direction.,"Take the maximum length of the facet as it appears in any direction (Byrd and Adams 2015, #81A).","",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#vertebrae
181,4,Cer1_03,Cer1_03 Maximum Length of the Left Inferior Articular Facet,3,Take the maximum length of the facet as it appears in any direction.,"Take the maximum length of the facet as it appears in any direction (Byrd and Adams 2015, #81M).","",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#vertebrae
182,4,Cer1_04,Cer1_04 Maximum Length of the Right Inferior Articular Facet,4,Take the maximum length of the facet as it appears in any direction.,"Take the maximum length of the facet as it appears in any direction (Byrd and Adams 2015, #81M).","",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#vertebrae
