id,method_id,feature,display_name,display_order,display_values,computed,compute_rule,display_help,groups,created_by,updated_by,created_at,updated_at,deleted_at,display_interval
448,1,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
449,1,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
450,2,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
451,2,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
452,3,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
453,3,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
454,4,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
455,4,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
456,5,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
457,5,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
458,6,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
459,6,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
460,7,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
461,7,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
462,8,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
463,8,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
464,9,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
465,9,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
466,10,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
467,10,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
468,11,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
