se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
215,39,1,1,163,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
215,42,1,1,14.25,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
215,43,1,1,10.2,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
215,44,1,1,27.27,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
215,45,1,1,17.29,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
215,46,1,1,12.59,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
215,47,1,1,20.15,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,39,1,1,162,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,42,1,1,14.89,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,43,1,1,10.31,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,44,1,1,30.57,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,45,1,1,20.92,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,46,1,1,13.26,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
216,47,1,1,20.13,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,3,1,1,141,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,5,1,1,134,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,6,1,1,101,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,7,1,1,94,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,9,1,1,50,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,10,1,1,120.5,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,11,1,1,70,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,12,1,1,91,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,13,1,1,98.6,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,19,1,1,35,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,21,1,1,18,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,22,1,1,112,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,23,1,1,107,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,24,1,1,102,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,26,1,1,28.3,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
221,27,1,1,24.5,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
222,53,1,1,347,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
222,54,1,1,63,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
222,55,1,1,50.89,System,System,2018-04-29 18:36:00,2018-04-29 18:36:00,
