se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1222,53,2,2,347,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,54,2,2,63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,55,2,2,50.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,56,2,2,25.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,57,2,2,18.76,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,58,2,2,48.32,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,59,2,2,44.99,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,60,2,2,18.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,61,2,2,26.48,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,53,2,2,346,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,54,2,2,66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,55,2,2,50.4,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,56,2,2,27.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,57,2,2,19.53,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,58,2,2,50.02,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,59,2,2,45.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,60,2,2,18.96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,61,2,2,27.74,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,53,2,2,348,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,54,2,2,59,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,55,2,2,46.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,56,2,2,23.15,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,57,2,2,17.29,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,58,2,2,44.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,59,2,2,42.35,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,60,2,2,17.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,61,2,2,24.04,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,53,2,2,350,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,54,2,2,58,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,55,2,2,47.13,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,56,2,2,24.09,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,57,2,2,17.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,58,2,2,42.99,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,59,2,2,44.59,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,60,2,2,16.94,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1270,61,2,2,24.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,53,2,2,368,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,54,2,2,66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,55,2,2,48.94,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,56,2,2,23.62,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,57,2,2,18.48,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,58,2,2,47.82,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,59,2,2,44.9,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,60,2,2,17.69,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,61,2,2,25.2,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,53,2,2,366,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,54,2,2,66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,55,2,2,48.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,56,2,2,23.64,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,57,2,2,18.31,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,58,2,2,48.58,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,59,2,2,43.41,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,60,2,2,18.53,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,61,2,2,25.51,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,53,2,2,362,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,54,2,2,64,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,55,2,2,48.51,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,56,2,2,21.7,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,57,2,2,17.95,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,58,2,2,50.63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,59,2,2,43.55,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,60,2,2,17.82,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1352,61,2,2,22.8,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,53,2,2,361,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,54,2,2,63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,55,2,2,48.77,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,56,2,2,22.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,57,2,2,18.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,58,2,2,49.14,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,59,2,2,43.37,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,60,2,2,18.03,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1353,61,2,2,23.6,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,53,2,2,331,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,54,2,2,63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,55,2,2,50.31,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,56,2,2,25.83,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,57,2,2,18.92,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,58,2,2,47.41,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,59,2,2,46.26,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,60,2,2,18.83,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1366,61,2,2,25.8,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1368,53,2,2,331,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1368,54,2,2,64,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
