se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1215,39,2,2,163,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1215,42,2,2,14.25,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1215,43,2,2,10.2,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1215,44,2,2,27.27,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1215,45,2,2,17.29,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1215,46,2,2,12.59,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1215,47,2,2,20.15,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,39,2,2,162,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,42,2,2,14.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,43,2,2,10.31,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,44,2,2,30.57,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,45,2,2,20.92,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,46,2,2,13.26,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1216,47,2,2,20.13,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,3,2,2,141,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,5,2,2,134,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,6,2,2,101,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,7,2,2,94,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,9,2,2,50,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,10,2,2,120.5,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,11,2,2,70,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,12,2,2,91,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,13,2,2,98.6,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,19,2,2,35,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,21,2,2,18,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,22,2,2,112,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,23,2,2,107,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,24,2,2,102,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,26,2,2,28.3,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1221,27,2,2,24.5,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,53,2,2,347,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,54,2,2,63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,55,2,2,50.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,56,2,2,25.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,57,2,2,18.76,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,58,2,2,48.32,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,59,2,2,44.99,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,60,2,2,18.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1222,61,2,2,26.48,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,53,2,2,346,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,54,2,2,66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,55,2,2,50.4,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,56,2,2,27.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,57,2,2,19.53,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,58,2,2,50.02,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,59,2,2,45.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,60,2,2,18.96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1223,61,2,2,27.74,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,62,2,2,256,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,66,2,2,12.74,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,67,2,2,16.31,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,68,2,2,19.24,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,69,2,2,16.91,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,70,2,2,11.53,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1224,71,2,2,36.29,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1225,62,2,2,253,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1225,66,2,2,12.51,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1225,67,2,2,17.62,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1225,68,2,2,19.69,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1225,69,2,2,17.2,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1225,70,2,2,11.48,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
