id,accession_number,provenance1,provenance2,designator,skeletal_bone,side,name,measure
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_06L,37
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_08,63
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_09,78
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_01,31
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_02L,29
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_03L,13
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_04,78
1069,CIL 2003-116,G-25,X-247E,102,Mandible,Middle,Man_10,120
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_02L,29.89
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_01,35.81
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_09,83
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_08,60
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_07L,43.59
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_06L,29.06
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_05,118.88
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_04,103.47
1188,CIL 2003-116,G-41,X-220E,102,Mandible,Middle,Man_03L,6.95
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_23,39.2
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_01,195
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_03,139
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_04,137
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_05,134
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_06,107
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_07,101
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_08,67.7
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_09,53.9
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_10,129.3
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_11,67.2
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_12,96.9
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_13,107.4
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_14,51
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_15,23.6
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_16L,45.9
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_16R,43
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_17L,35.7
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_17R,35
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_18,97.5
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_19,17.9
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_20,112
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_21,130
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_22,91
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_24,36.7
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_25L,38
1189,CIL 2003-116,G-42,X-260C,101,Cranium,Middle,Cra_25R,35.2
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_01,163
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_04,14.25
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_05,10.2
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_06,27.27
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_09,20.15
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_07,17.29
1215,CIL 2003-116,G-01,None,601,Clavicle,Left,Cla_08,12.59
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_01,162
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_08,13.26
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_09,20.13
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_07,20.92
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_04,14.89
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_05,10.31
1216,CIL 2003-116,G-01,None,602,Clavicle,Right,Cla_06,30.57
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_24,35
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_20,116
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_19,21
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_17R,34
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_16R,40
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_15,24
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_09,54
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_14,53
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_08,61
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_11,74
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_12,102
1218,CIL 2003-116,G-02,X-342,101,Cranium,Middle,Cra_13,107
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_06,101
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_03,141
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_05,134
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_07,94
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_09,50
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_10,120.5
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_11,70
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_12,91
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_13,98.6
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_19,35
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_21,18
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_22,112
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_23,107
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_24,102
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_26,28.3
1221,CIL 2003-116,G-01,X-232C,101,Cranium,Middle,Cra_27,24.5
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_09,26.48
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_01,347
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_02,63
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_03,50.89
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_04,25.52
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_05,18.76
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_06,48.32
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_07,44.99
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_08,18.68
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_08,18.96
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_01,346
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_02,66
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_03,50.4
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_04,27.52
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_05,19.53
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_06,50.02
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_07,45.89
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_09,27.74
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_08,16.91
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_10,36.29
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_09,11.53
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_07,19.24
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_06,16.31
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_05,12.74
1224,CIL 2003-116,G-01,X-232C,203,Radius,Left,Rad_01,256
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_10,35.15
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_05,12.51
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_01,253
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_06,17.62
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_07,19.69
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_08,17.2
1225,CIL 2003-116,G-01,X-232C,204,Radius,Right,Rad_09,11.48
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_10,10.39
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_01,271
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_04,14.07
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_05,18.1
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_06,235
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_09,12.1
1226,CIL 2003-116,G-01,X-232C,205,Ulna,Left,Uln_11,25.73
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_05,20.92
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_09,11.95
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_10,11.13
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_01,269
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_04,13.71
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_11,25.69
1227,CIL 2003-116,G-01,X-232C,206,Ulna,Right,Uln_06,232
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_05,33.5
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_01,466
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_02,462
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_03,80
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_04,46.8
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_06,28.07
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_07,28.96
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_08,23.76
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_14,26.85
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_15,23.66
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_16,33.72
1228,CIL 2003-116,G-01,X-232C,401,Femur,Left,Fem_17,29.15
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_15,23.01
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_16,33.37
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_17,30.29
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_01,466
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_02,463
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_03,80
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_04,48.1
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_05,33.45
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_06,28.72
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_07,30.53
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_08,23.73
1229,CIL 2003-116,G-01,X-232C,402,Femur,Right,Fem_14,27.48
1230,CIL 2003-116,G-01,X-232C,403,Tibia,Left,Tib_04,36.79
1230,CIL 2003-116,G-01,X-232C,403,Tibia,Left,Tib_11,26.43
1230,CIL 2003-116,G-01,X-232C,403,Tibia,Left,Tib_10,33.03
1230,CIL 2003-116,G-01,X-232C,403,Tibia,Left,Tib_05,22.44
1231,CIL 2003-116,G-01,X-232C,404,Tibia,Right,Tib_05,21.56
1231,CIL 2003-116,G-01,X-232C,404,Tibia,Right,Tib_12,35.95
1231,CIL 2003-116,G-01,X-232C,404,Tibia,Right,Tib_11,26.54
1231,CIL 2003-116,G-01,X-232C,404,Tibia,Right,Tib_03,46
1231,CIL 2003-116,G-01,X-232C,404,Tibia,Right,Tib_04,38.16
1231,CIL 2003-116,G-01,X-232C,404,Tibia,Right,Tib_10,36.27
1232,CIL 2003-116,G-01,X-232C,405,Fibula,Left,Fib_04,9.37
1232,CIL 2003-116,G-01,X-232C,405,Fibula,Left,Fib_03,16.45
1234,CIL 2003-116,G-01,X-232C,406,Fibula,Right,Fib_05,24.81
1234,CIL 2003-116,G-01,X-232C,406,Fibula,Right,Fib_04,9.26
1234,CIL 2003-116,G-01,X-232C,406,Fibula,Right,Fib_03,15.88
1234,CIL 2003-116,G-01,X-232C,406,Fibula,Right,Fib_01,373
1257,CIL 2003-116,G-01,X-232C,601,Clavicle,Left,Cla_01,146
1257,CIL 2003-116,G-01,X-232C,601,Clavicle,Left,Cla_06,25.89
1257,CIL 2003-116,G-01,X-232C,601,Clavicle,Left,Cla_07,16.95
1257,CIL 2003-116,G-01,X-232C,601,Clavicle,Left,Cla_08,13.25
1257,CIL 2003-116,G-01,X-232C,601,Clavicle,Left,Cla_09,19.46
1258,CIL 2003-116,G-01,X-232C,602,Clavicle,Right,Cla_06,24.34
1258,CIL 2003-116,G-01,X-232C,602,Clavicle,Right,Cla_01,140
1258,CIL 2003-116,G-01,X-232C,602,Clavicle,Right,Cla_09,18.97
1258,CIL 2003-116,G-01,X-232C,602,Clavicle,Right,Cla_08,12.37
1258,CIL 2003-116,G-01,X-232C,602,Clavicle,Right,Cla_07,18.79
1259,CIL 2003-116,G-01,X-232C,603,Scapula,Left,Sca_04,38.6
1259,CIL 2003-116,G-01,X-232C,603,Scapula,Left,Sca_03,29.54
1259,CIL 2003-116,G-01,X-232C,603,Scapula,Left,Sca_05,47.23
1263,CIL 2003-116,G-01,X-232C,604,Scapula,Right,Sca_04,40.5
1263,CIL 2003-116,G-01,X-232C,604,Scapula,Right,Sca_03,29.03
1263,CIL 2003-116,G-01,X-232C,604,Scapula,Right,Sca_05,50.58
1264,CIL 2003-116,G-01,X-232C,801,Cervical vertebra 1,Middle,Cer1_02,24.5
1264,CIL 2003-116,G-01,X-232C,801,Cervical vertebra 1,Middle,Cer1_01,25.25
1264,CIL 2003-116,G-01,X-232C,801,Cervical vertebra 1,Middle,Cer1_03,19.17
1264,CIL 2003-116,G-01,X-232C,801,Cervical vertebra 1,Middle,Cer1_04,20.1
1265,CIL 2003-116,G-01,X-232C,901,Os coxa,Left,Osc_14,24.27
1265,CIL 2003-116,G-01,X-232C,901,Os coxa,Left,Osc_16,12.1
1265,CIL 2003-116,G-01,X-232C,901,Os coxa,Left,Osc_17,56.59
