id,accession_number,provenance1,provenance2,designator,skeletal_bone,side,name,measure
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_03,50.89
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_02,63
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_05,18.76
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_09,26.48
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_07,44.99
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_08,18.68
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_04,25.52
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_06,48.32
1222,CIL 2003-116,G-01,X-232C,201,Humerus,Left,Hum_01,347
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_01,346
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_02,66
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_03,50.4
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_04,27.52
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_05,19.53
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_06,50.02
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_07,45.89
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_08,18.96
1223,CIL 2003-116,G-01,X-232C,202,Humerus,Right,Hum_09,27.74
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_01,348
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_02,59
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_03,46.68
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_04,23.15
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_05,17.29
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_06,44.07
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_07,42.35
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_08,17.07
1269,CIL 2003-116,G-01,X-233E,201,Humerus,Left,Hum_09,24.04
1270,CIL 2003-116,G-01,X-233E,202,Humerus,Right,Hum_01,350
1270,CIL 2003-116,G-01,X-233E,202,Humerus,Right,Hum_02,58
1270,CIL 2003-116,G-01,X-233E,202,Humerus,Right,Hum_03,47.13
1270,CIL 2003-116,G-01,X-233E,202,Humerus,Right,Hum_04,24.09
1270,CIL 2003-116,G-01,X-233E,202,Humerus,Right,Hum_05,17.07
