id,sb_id,user_id,org_id,project_id,reviewer_id,accession_number,provenance1,provenance2,designator,side,completeness,measured,dna_sampled,ct_scanned,xray_scanned,clavicle_triage,inventoried,reviewed,external_id,individual_number,inventoried_at,reviewed_at,created_by,updated_by,created_at,updated_at,deleted_at,consolidated_an,isotope_sampled,count,mass,bone_group,bone_group_id
23093,170,18,2,2,,CIL 2003-116,G-43,X-231E,1,Unsided,Complete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 18:31:45,2019-01-07 18:31:45,,,false,,,,
23092,18,18,2,2,,CIL 2003-116,G-43,X-231E,107,Middle,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 18:27:26,2019-01-07 18:27:26,,,false,,,,
23091,18,18,2,2,,CIL 2003-116,G-43,X-231E,106,Right,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 18:25:09,2019-01-07 18:25:09,,,false,,,,
23090,18,18,2,2,,CIL 2003-116,G-43,X-231E,105,Left,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 18:03:00,2019-01-07 18:03:00,,,false,,,,
23089,18,18,2,2,,CIL 2003-116,G-43,X-231E,104,Right,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 18:01:17,2019-01-07 18:01:17,,,false,,,,
23088,149,18,2,2,,CIL 2003-116,G-13,X-299P,105,Unsided,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 18:00:03,2019-01-07 18:00:03,,,false,,,,
23087,18,18,2,2,,CIL 2003-116,G-13,X-299P,104,Middle,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 17:38:08,2019-01-07 17:38:31,,,false,,,,
23086,18,18,2,2,,CIL 2003-116,G-13,X-299P,103,Left,Incomplete,false,false,false,false,false,false,false,,,,,Stephanie Fuehr,Stephanie Fuehr,2019-01-07 16:57:20,2019-01-07 17:35:40,,,false,,,,
10677,32,1,2,2,,CIL 2003-116,G-37,X-237ABDEFG,406,Left,Complete,true,true,false,false,false,true,false,,,,,System,Carrie Legarde,2018-04-29 18:47:59,2019-01-07 02:22:00,,,false,,,,
10672,32,1,2,2,,CIL 2003-116,G-37,X-237ABDEFG,401,Left,Complete,true,true,false,false,false,true,false,,CIL 2003-116-I-103,,,System,Carrie Legarde,2018-04-29 18:47:59,2019-01-07 02:21:35,,,false,,,,
