id,sb_id,name,display_name,display_order,description,created_by,updated_by,created_at,updated_at,deleted_at,display_help,help_url
2,1,1,1 - Head,1,Head,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#ribs-2-12
3,1,2,2 - Rib angle including tubercle,2,Rib angle including tubercle,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#ribs-2-1
4,1,3,3 - Corpus,3,Corpus,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#ribs-2-1
5,1,4,4 - Sternal end,4,Sternal end,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#ribs-2-1
6,2,1,1 - Tuber calcis,1,Tuber calcis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
7,2,2,2 - Distal portion of the body,2,Distal portion of the body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
8,2,3,3 - Sustentaculum tali,3,Sustentaculum tali,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
9,2,4,4 - Proximal articulation,4,Proximal articulation,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
10,2,5,5 - Proximal portion of the body,5,Proximal portion of body inferior to the articulations,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
11,3,1,1 - All,1,All,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
12,4,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
13,4,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
14,4,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
